,GoalSetting,StrategicPlanning,SelfEvaluation,TaskStrategies,Elaboration,HelpSeeking,only lecture,Atry to lecture,explore,only asessment,Lcomplete to Atry,lecture to Acomplete,hrs,prior_exp,crs_str,crs_fin,int_topic,int_assess,edu,age,isfemale,emp_student,emp_job,days_act,num_events,num_ses,Gano
0,2.5,1.5,1.66666666666667,0.833333333333333,2.0,1.5,5,0,5,0,0,0,2,1,1,1,1,1,5,33,0,0,1,13,2,16,0
1,2.75,3.0,2.0,1.0,3.0,1.5,0,0,0,0,0,0,4,0,3,0,1,1,2,19,0,1,0,1,1,1,0
2,2.25,1.75,1.33333333333333,1.0,2.0,0.5,3,0,0,0,0,0,3,0,3,2,0,0,3,44,0,0,1,1,1,1,0
3,2.5,2.75,1.33333333333333,1.16666666666667,2.33333333333333,2.75,2,0,0,0,0,0,8,0,0,0,1,1,2,20,0,1,0,1,5,1,0
4,0.5,2.0,2.0,1.16666666666667,2.33333333333333,1.25,4,0,0,0,0,0,7,1,0,0,0,0,5,34,0,0,1,2,13,2,0
5,1.75,2.25,2.0,1.16666666666667,0.666666666666667,0.75,4,0,0,6,0,0,3,1,0,0,1,1,3,21,1,1,0,17,1,27,0
6,2.0,1.5,2.33333333333333,1.33333333333333,3.0,0.5,0,0,0,0,0,0,5,0,0,3,1,1,4,25,1,0,0,2,1,2,0
7,2.5,1.75,1.0,1.33333333333333,1.0,2.0,0,0,6,0,0,0,2,0,4,4,1,0,5,30,0,1,0,1,8,1,0
8,1.0,1.25,2.0,1.33333333333333,1.66666666666667,0.75,5,0,0,0,0,0,3,0,0,0,1,1,2,19,0,1,0,2,13,3,0
9,1.25,1.25,1.33333333333333,1.5,2.0,1.75,0,0,0,0,0,0,2,0,4,5,1,1,3,47,0,0,1,1,4,1,0
10,1.25,2.5,1.33333333333333,1.5,3.0,3.5,2,0,0,0,0,0,2,0,0,0,0,0,2,19,0,0,0,1,11,1,0
11,2.0,1.75,2.33333333333333,1.5,2.0,2.0,4,0,0,0,0,0,5,1,5,5,1,0,6,40,0,0,1,1,1,1,0
12,1.5,1.5,1.33333333333333,1.66666666666667,2.0,1.75,0,0,0,0,7,0,1,1,2,2,1,0,5,32,0,0,0,4,10,6,0
13,1.75,2.0,2.0,1.66666666666667,2.0,2.25,0,0,0,0,0,0,4,0,1,1,1,1,3,24,0,1,0,1,18,1,0
14,2.0,2.0,2.66666666666667,1.66666666666667,3.0,2.75,0,0,0,0,0,0,5,0,2,2,1,1,4,40,0,0,1,5,6,11,0
15,2.5,2.25,2.33333333333333,1.66666666666667,1.66666666666667,2.5,0,0,5,0,0,0,4,0,1,4,1,1,4,36,0,0,1,2,8,2,0
16,2.5,2.25,2.66666666666667,1.66666666666667,2.33333333333333,2.0,0,0,0,0,0,0,3,0,5,4,1,1,6,30,0,0,0,2,1,1,0
17,3.0,3.0,3.0,1.66666666666667,1.33333333333333,1.5,0,0,0,0,0,0,2,0,0,0,1,1,3,39,0,0,0,1,9,1,0
18,2.75,2.25,1.66666666666667,1.66666666666667,1.33333333333333,2.25,2,0,6,0,0,0,5,1,2,2,1,1,3,22,0,0,0,4,7,4,0
19,1.0,1.75,1.0,1.66666666666667,2.33333333333333,0.25,3,0,0,0,0,0,3,1,8,3,0,0,6,55,0,0,0,3,26,4,0
20,2.0,2.75,2.66666666666667,1.66666666666667,2.0,2.0,4,0,0,0,0,0,4,1,0,0,1,1,3,21,0,1,0,1,1,1,0
21,1.5,1.5,1.33333333333333,1.66666666666667,1.0,1.75,5,0,0,0,0,0,3,0,0,0,1,1,3,27,0,0,1,1,1,1,0
22,1.25,1.75,2.0,1.83333333333333,2.66666666666667,3.0,0,0,0,0,0,0,3,0,1,0,0,0,5,23,0,0,0,1,1,1,0
23,2.0,2.0,2.0,1.83333333333333,1.33333333333333,0.75,0,0,0,0,0,0,5,1,0,0,1,1,6,23,0,1,0,1,1,1,0
24,2.0,2.0,2.0,1.83333333333333,2.0,1.75,0,0,0,3,0,0,4,0,1,0,0,1,3,21,0,1,0,2,4,3,0
25,2.0,2.0,4.0,1.83333333333333,2.66666666666667,0.5,0,0,0,0,0,0,2,0,1,0,1,1,2,42,0,0,0,3,1,3,0
26,1.5,2.25,2.66666666666667,1.83333333333333,2.33333333333333,0.75,0,0,0,0,0,0,1,0,0,0,0,0,2,18,0,1,0,1,7,1,0
27,2.0,2.25,2.33333333333333,1.83333333333333,2.33333333333333,1.5,0,0,0,0,0,0,4,0,0,0,1,1,4,34,0,0,1,1,16,1,0
28,2.5,3.0,2.0,1.83333333333333,1.66666666666667,2.75,0,0,0,4,0,0,5,0,0,0,1,1,2,19,0,1,0,5,5,7,0
29,2.0,2.5,3.0,1.83333333333333,3.0,1.5,2,0,0,0,0,0,5,1,1,0,0,0,2,21,0,1,0,3,6,8,0
30,2.75,1.75,2.0,1.83333333333333,3.0,2.75,4,0,0,9,0,0,5,1,1,0,1,1,2,23,1,1,0,10,1,24,0
31,3.0,1.25,2.66666666666667,2.0,2.66666666666667,1.75,0,0,0,0,0,0,4,1,6,6,1,1,2,46,0,0,1,3,1,8,0
32,1.75,1.5,2.66666666666667,2.0,2.33333333333333,2.25,0,0,5,0,0,0,5,1,0,0,1,1,3,17,1,0,1,1,7,1,0
33,1.75,1.75,2.0,2.0,2.0,2.0,0,0,0,0,0,0,6,0,0,0,1,1,4,32,0,0,1,1,5,2,0
34,2.5,1.75,2.0,2.0,2.0,2.0,0,0,0,0,0,0,5,0,4,2,1,1,3,23,1,1,0,1,1,1,0
35,2.0,2.0,2.0,2.0,2.0,1.0,0,0,0,0,0,0,3,1,0,0,1,1,5,36,0,0,1,1,7,1,0
36,3.5,2.0,0.333333333333333,2.0,2.33333333333333,1.25,0,0,0,5,0,0,7,1,1,1,1,1,6,22,0,0,1,1,2,3,0
37,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,3,0,5,5,1,1,3,46,0,0,0,1,4,1,0
38,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,2,1,0,0,1,1,3,38,0,0,1,2,1,4,0
39,2.0,2.0,2.0,2.0,2.0,2.0,0,0,4,0,0,0,5,1,1,1,0,0,3,24,0,1,0,1,2,1,0
40,2.0,2.0,2.0,2.0,2.0,2.0,0,0,5,0,0,0,8,0,1,1,1,1,5,53,0,0,1,7,2,14,0
41,2.0,2.0,2.0,2.0,2.33333333333333,2.5,0,0,0,0,0,0,4,0,2,1,1,1,3,30,0,0,1,1,9,3,0
42,2.5,2.0,2.33333333333333,2.0,2.66666666666667,1.5,0,0,0,0,0,0,4,1,4,3,1,1,6,40,0,0,1,1,1,2,0
43,2.0,2.0,2.0,2.0,2.0,3.0,0,0,0,0,0,0,6,0,0,0,1,1,3,46,0,0,1,1,1,1,0
44,2.0,2.0,2.0,2.0,2.0,3.0,0,0,0,12,0,0,6,1,1,0,1,1,4,25,0,0,1,8,9,14,0
45,2.0,2.0,3.66666666666667,2.0,2.66666666666667,1.0,0,0,5,0,0,0,1,1,4,5,1,1,4,27,0,0,1,9,10,14,0
46,2.0,2.25,2.33333333333333,2.0,1.33333333333333,1.5,0,0,0,0,0,0,7,0,0,0,1,1,4,20,0,1,0,1,1,1,0
47,1.5,2.25,2.0,2.0,2.0,3.0,0,0,0,0,0,0,5,0,0,0,1,1,5,33,0,0,1,3,6,4,0
48,2.5,2.25,2.66666666666667,2.0,2.33333333333333,1.75,0,0,0,0,0,0,4,0,1,0,1,1,2,17,0,1,0,1,4,1,0
49,2.75,2.25,2.33333333333333,2.0,2.0,2.75,0,0,0,0,0,0,5,0,6,2,1,1,7,40,0,0,1,1,7,1,0
50,2.0,2.5,2.66666666666667,2.0,1.66666666666667,3.0,0,0,0,0,0,0,1,0,0,0,1,1,3,63,0,0,1,1,10,1,0
51,2.0,2.5,2.33333333333333,2.0,2.66666666666667,2.5,0,0,4,0,0,0,4,1,0,0,1,1,2,22,0,1,0,4,1,4,0
52,2.5,2.5,1.66666666666667,2.0,2.66666666666667,2.75,0,0,0,0,0,0,5,0,0,0,1,1,4,21,0,1,0,1,2,2,0
53,2.0,3.5,2.0,2.0,2.0,2.0,0,0,0,0,0,0,3,0,2,2,1,1,2,22,0,0,1,1,4,3,0
